SKU;Name;Description;Cost Price;Old Price;Price;Available On;Stock;Height;Width;Depth;Weight;Position;Taxonomies;Permalink;image_variant1;image_variant2;image_variant3;image_variant4;image_variant5;image_variant6;image_variant7;image_variant8;image_variant9;image_variant10;image_variant11;image_variant12;image_variant13;image_variant14;image_variant15;image_variant16;image_variant17;image_variant18;image_variant19;image_variant20;image_variant21;image_variant22;image_variant23;image_variant24;image_variant25;image_variant26
13;Cadeira Gamer DT3 Sports Elise Grey 106333;"</strong><br>- Marca: DT3 Sports<br>- Modelo: Elise<br> <br><strong><br>Especificações:<br></strong><br>- Base com 5 pés com 350mm de raio.<br>- Recomendado para pessoas de até 130Kg e 1,80m.<br>- Largura do encosto superior: 58 cm<br>- Distância entre os braços: 56 cm<br>- Largura de encosto inferior: 52 cm<br>- Largura do encosto interno: 33 cm<br>- Largura interna do assento: 36 cm<br>- Largura do assento: 56 cm<br>- Altura do encosto: 84 cm<br>- Profundidade do assento: 57 cm<br> <br><strong><strong>Informações adicionais:</strong></strong><br>- Cadeira ergonômica, reclinável, com design Racing DT3sports.<br>- Estofamento couro sintético PU alta qualidade.<br>- Assento com espuma de alta densidade (50Kg/m³), regulagem de altura de 100mm e 360° de rotação.<br>- Função de balanço permite inclinar o assento em até 12°.<br>- Cilindro de alta qualidade (class-4 gas lift) com sistema de segurança contra explosão.<br>- Duas almofadas inclusas para apoio lombar e pescoço. Ambas com logo bordado.<br>- Atende normas EN 1335-1 e EN 1335-2 certificadas pela SGS.<br>- Base de aço com pintura “black piano”.<br>- Homologadas no teste BIFMA, suportam mais do que 1500Kg mesmo após 1 ano de uso.<br><strong> </strong><br><strong><strong>Conteúdo da embalagem:</strong></strong><br>- Cadeira Gamer DT3 Sports  <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>24250 gramas<br>
";779.90;1029.90;917.53;;;;;;;;Categories > Games;;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_10_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_1509991556_index_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_11_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_12_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_13_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_1_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_2_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_3_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_4_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_5_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_6_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_7_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_8_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_9_1509990999_g.jpg;Games/Cadeira_Gamer_DT3_Sports_Elise_Grey_106333/90500_xxx_g.jpg;;;;;;;;;;;
14;Game PES 2019 PS4;"</strong><br>- Marca: Konami<br>- Game: PES 2019<br> <br><strong><br>Especificações:<br></strong><br>- Plataforma: Playstation 4<br>- Publisher: Konami<br>- Categoria: Futebol<br>- Tipo de mídia: Blu-Ray<br>- Idioma do jogo: Português (áudio)<br>- Legenda: Português<br>- Número de Jogadores Offline: 1 <br>- 4 jogadores <br>- Número de Jogadores Online: 2 <br>- 22 jogadores<br>- Idade recomendada: Livre<br>- Espaço Requerido no Disco Rígido: No mínimo 23GB<br>- Saída de Vídeo: 1080p<br><strong>Diferencial:</strong><br>- Representante Premium (3 jogadores) x 10 semanas<br>- 3 renovações de contrato x 10 semanas<br>- Coutinho por empréstimo<br>- Beckham 2018 por empréstimo<br> <br><strong>Informações adicionais: </strong><br><strong><br>Ligas autênticas &amp; Parcerias: </strong><br>- Mais ligas licenciadas comparado ao PES 2018 – informação chegando entre julho e agosto<br>- Mais equipes e jogadores licenciados comparado ao PES 2018 – incluindo até 40 jogadores por elenco<br>- Mais estádios licenciados comparado ao PES 2018<br>- Novo design HUD baseado na licença de cada liga<br><strong><br>Momentos Mágicos: </strong><br>- Individualidade dos jogadores levada para um outro nível, onde as habilidades e força têm mais importância na jogabilidade. Introdução de 11 novas habilidades que ajudam a melhorar a singularidade de cada jogador, como o passe sem olhar, pegador de pênalti, chute ascendente/descendente<br>- Cansaço visível: Jogadores darão sinais visuais quando estiverem cansados, ou simplesmente não terão energia suficiente para voltarem para suas posições. Continuar jogando com os jogadores cansados resultará em lesões<br>- Substituições rápidas disponíveis quando a bola sair de jogo, com as trocas predefinidas recomendadas<br>- Animações de dribles e fluidez agora baseados em uma série de fatores como posicionamento, distância da bola e proximidade do adversário<br>- Nova mecânica do chute incluindo animações únicas baseadas no jogador e na posição da bola, assim como o equilíbrio da velocidade da bola baseado na habilidade do jogador e na situação do chute<br>- Redes do gol redesenhadas, com toda a rede reagindo ao impacto e não apenas a área do chute<br><strong><br>O Jogo bonito: </strong><br>- Somente para a atual geração: 4K HDR em todas as plataformas<br>- Uso do software Enlighten e da função Global Illumination para criar foto realismo<br>- Resolução dinâmica integrada permitindo detalhes constantes na câmera de jogabilidade<br>- Implementação de textura real da grama<br>- Efeito de neve adicionado<br>- Melhorias nos detalhes da torcida<br>- Melhor fluxo de animação aprimorando a variedade em todos os movimentos dos jogadores<br><strong>Novo Myclub: </strong><br>- Novo design de cards (estilo de cartões de futebol)<br>- Método de compra de jogadores adicionado: Pacotes de jogadores – 3 jogadores por pacote além da opção de pacote único <br>- Jogadores de alta performance: POTW (Jogadores da semana), Lendas, Edições de cards especiais<br><strong>ML – Temporadas: </strong><br>- Pré-temporada da ICC apresentando a experiência de jogadores únicos<br>- Transferências reais<br>- Novo sistema de negociações<br>- Implementação de menus ao vivo (vídeos na ML)<br><strong>Menus ao vivo: </strong><br>- Nova apresentação em todos os modos<br>- Vídeos ao vivo sendo atualizados com o conteúdo que está chegando ao PES<br>- Ofertas de descontos exclusivos nos productos futuros<br><strong>Conteúdo da embalagem:</strong><br>- 01 Mídia com jogo<br><br><strong><br>ATENÇÃO!!! PARA GARANTIRMOS A SEGURANÇA E QUALIDADE DOS JOGOS POR NÓS FORNECIDOS, ESTE GAME NÃO PODERÁ SER DEVOLVIDO APÓS ABERTO, VISTO QUE TRATA-SE DE UM PRODUTO LACRADO.</strong><br>  <br><br><br><strong>Garantia</strong><br>3 meses de garantia<br><br><strong>Peso</strong><br>85 gramas<br>
";169.92;;199.90;;;;;;;;Categories > Games;;;Games/Game_PES_2019_PS4/97454_index_g.jpg;;;;;;;;;;;;;;;;;;;;;;;;
15;Headset C3 Tech Voicer ConfortPreto  MI2260ARC;"<br></strong><br>- Marca: C3 Tech<br>- Modelo: MI-2260ARC<br> <br><strong><br>Especificações:<br></strong>- Resposta de Frequência Fones: 20Hz a 20kHz.<br>- Impedância: 32 Ohm<br>- Sensibilidade: 105db a 1 kHz<br>- Isolamento Acústico<br>- Almofadas (material): Borracha<br>- Tipo de Microfone: Eletreto<br>- Nível Máximo de Entrada: 100mW<br>- Controle de Volume no Cabo<br>- Plug Estéreo<br>- Plugs Individuais (microfone e audio): P2<br>- Tipo de Cabo: Cordão revestido em PVC<br>- Comprimento do Cabo: 1,80m<br>- Dimensão do produto (L x A x P): 16.5 x 19.5 x 8.5 cm<br> <br><strong>Informações Adicionais:</strong><br>- Suporte para cabeça com regulagem de altura<br>- Almofada auricular macia para maior conforto<br>- Haste flexível do microfone<br>- Espuma anti-puff para melhor qualidade de som<br>- Base do microfone com rotação de 180º<br>- Controle de volume integrado<br>- Conectores coloridos para melhor identificação de fone e microfone<br> <br>Aplicações:<br>- Messenger<br>- Skype<br>- Música<br>- Notebook<br>- PCs<br> <br>Requisitos do Sistema:<br>- Placa de som: entrada para microfone e saída para fone de ouvido<br>- Conectores: plug P2 estéreo<br> <br>Conteúdo da Embalagem:<br>- 1 Headphone Confort P2 <br><br><br><strong>Garantia</strong><br>3 meses de garantia<br><br><strong>Peso</strong><br>284 gramas<br>
";37.90;;44.59;;;;;;;;Categories > Headsets;;Headsets/Headset_C3_Tech_Voicer_ConfortPreto__MI2260ARC/5559_1_1507648445_g.jpg;Headsets/Headset_C3_Tech_Voicer_ConfortPreto__MI2260ARC/5559_1507648565_index_g.jpg;Headsets/Headset_C3_Tech_Voicer_ConfortPreto__MI2260ARC/5559_xxx_g.jpg;;;;;;;;;;;;;;;;;;;;;;;
16;Headset Edifier K800 Preto;"sticas</strong>:<br>- Marca:  Edifier<br>- Modelo: K800 <br><strong><br>Especificações:<br></strong><br>- Impedância: 32Ω<br>- Nível de pressão sonora (SPL): 102dB<br>- Resposta de frequência: 20Hz ~ 20kHz<br>- Alto-falante: 40mm<br>- Comprimento do Cabo: 2 metros<br><strong>Geral:</strong><br>- Alto-falante de 40mm NdFeb, alto-desempenho.<br>- Design simples,  materiais sólidos,  acabamento requintado com excelente textura<br>- Uso  confortável<br>- Almofadas cobertas em  couro macio isolando ruído externo, confortável mesmo com longo tempo de uso<br>- Controle remoto no fio, com ajuste de volume e liga/desliga do microfone<br>- Cabo com 2 m de comprimento de  alta qualidade<br>- Plugue  P3 <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>320 gramas<br>
";92.90;;109.29;;;;;;;;Categories > Headsets;;Headsets/Headset_Edifier_K800_Preto/37590_1526039977_g.jpg;Headsets/Headset_Edifier_K800_Preto/37590_index_g.jpg;;;;;;;;;;;;;;;;;;;;;;;;
17;Headset Edifier K815 Branco;"</strong><br>- Marca: Edifier <br>- Modelo: K815<br><strong><br></strong><br><strong><br>Especificações:<br> </strong><br>- Resposta de frequência: 20Hz ~ 20kHz<br>- Impedância: 40Ω<br>- Tipo de conector: Direto<br>- Nível de pressão sonora: 101dB<br>- Comprimento do cabo: 2.0m<br>- Conector: 3.5 mm<br>- Inline Control<br>- Cor: Branco<br><strong><br></strong><br><strong>Conteúdo da embalagem:</strong><br>- 01 Headset Edifier <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>390 gramas<br>
";147.90;;174.00;;;;;;;;Categories > Headsets;;;Headsets/Headset_Edifier_K815_Branco/75101_index_g.jpg;;;;;;;;;;;;;;;;;;;;;;;;
18;Headset Fortrek Multimídia HBL101 PretoPrata  62887;"</strong><br>- Marca: Fortrek<br>- Modelo: 62887<br><strong><br>Especificações:<br></strong><br>- Resposta Frequência: 20~20000Hz<br>- Impedância: 32 Ohms<br>- Potência: 100mW<br>- Sensibilidade: 105dB até 1KHz<br>- Diâmetro Falante: 30mm<br>- Conector: 2x P2 Estéreo (3,5mm)<br>- Cor: Prata / Preto<br>- Comprimento: 1,8m<br><strong>Informações adicionais:</strong><br>- Sensibilidade do Microfone: -58dB ± 2dB <br>- Ideal Para Chamadas no Skype <br>- Trabalha com Programas Multimídia <br>- Haste Ajustável<br><strong>Conteúdo da embalagem:</strong><br>- 01 Headset Fortrek Multimídia HBL-101<br> <br> <br><br><br><strong>Garantia</strong><br>6 meses de garantia<br><br><strong>Peso</strong><br>100 gramas<br>
";10.90;;12.82;;;;;;;;Categories > Headsets;;Headsets/Headset_Fortrek_Multimídia_HBL101_PretoPrata__62887/93247_1_1507921417_g.jpg;Headsets/Headset_Fortrek_Multimídia_HBL101_PretoPrata__62887/93247_1507922592_index_g.jpg;Headsets/Headset_Fortrek_Multimídia_HBL101_PretoPrata__62887/93247_xxx_g.jpg;;;;;;;;;;;;;;;;;;;;;;;
19;Memória Corsair 8GB 2133MHz DDR4 CL15  CMV8GX4M1A2133C15;"</strong><br>Marca: Corsair Gaming<br>Modelo: CMV8GX4M1A2133C15<br> <br><strong><br>Especificações:<br></strong><br>- Configuração da memória: Dual Channel<br>- Tipo de memória: DDR4<br>- Formato da embalagem da memória: DIMM<br>- Pino da embalagem da memória: 288<br>- Tamanho da memória: 8GB Kit (1 x 8GB)<br>- Latência SPD: 15-15-15-36<br>- Velocidade SPD: 2133MHz<br>- Avaliação de velocidade: PC4-17000 (2133MHz)<br>- Latência testada: 15-15-15-36<br>- Velocidade testada: 2133MHz<br>- Voltagem testada: 1.2V<br> <br><strong>Conteúdo da embalagem:</strong><br>- 01 Memória Corsair 8GB<br> <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>40 gramas<br>
";399.90;525.18;470.47;;;;;;;;Categories > Memoria Ram;;Memoria_Ram/Memória_Corsair_8GB_2133MHz_DDR4_CL15__CMV8GX4M1A2133C15/75803_1459447330_g.jpg;Memoria_Ram/Memória_Corsair_8GB_2133MHz_DDR4_CL15__CMV8GX4M1A2133C15/75803_index_g.jpg;;;;;;;;;;;;;;;;;;;;;;;;
20;Memória Corsair Vengeance LPX 16GB 2x8GB 2400Mhz DDR4 CL14 Black  CMK16GX4M2A2400C14;"</strong><br>- Marca: Corsair<br>- Modelo: CMK16GX4M2A2400C14<br> <br><strong><br>Especificações:<br></strong><br>- Dissipador de calor: Vengeance LPX<br>- Configuração da memória: Dual / Quad Channel<br>- Séries da memória: Vengeance<br>- Tipo de memória: DDR4<br>- Formato: DIMM<br>- Pino: 288<br>- Perfil de desempenho: XMP 2.0<br>- Tamanho: 16GB Kit (2 x 8GB)<br>- Latência SPD: 15-15-15-36<br>- Velocidade SPD: 2133MHz<br>- Voltagem: 1.2V<br>- Avaliação de velocidade: PC4-19200 (2400MHz)<br>- Latência testada: 14-16-16-31<br>- Velocidade testada: 2400MHz<br>- Voltagem testada: 1.2V<br>- Compatibilidade: Plataforma Intel X99/100 Series<br> <br><strong>Conteúdo da Embalagem:</strong><br>- 02 Memórias Corsair <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>105 gramas<br>
";799.90;1141.06;941.06;;;;;;;;Categories > Memoria Ram;;Memoria_Ram/Memória_Corsair_Vengeance_LPX_16GB_2x8GB_2400Mhz_DDR4_CL14_Black__CMK16GX4M2A2400C14/81415_1_1511972734_g.jpg;Memoria_Ram/Memória_Corsair_Vengeance_LPX_16GB_2x8GB_2400Mhz_DDR4_CL14_Black__CMK16GX4M2A2400C14/81415_1511972731_index_g.jpg;Memoria_Ram/Memória_Corsair_Vengeance_LPX_16GB_2x8GB_2400Mhz_DDR4_CL14_Black__CMK16GX4M2A2400C14/81415_xxx_g.jpg;;;;;;;;;;;;;;;;;;;;;;;
21;Memória Crucial Ballistix Sport LT 4GB 2400Mhz DDR4 CL16 Red  BLS4G4D240FSE;"</strong></strong><br>- Marca: Crucial<br>- Modelo: BLS4G4D240FSE<br><strong><strong>Especificações</strong><strong>:</strong><strong> </strong></strong><br>- Capacidade: 4GB<br>- Tipo: DDR4<br>- PC4-19200<br>- 16-16-16<br>- Velocidade: 2400 MT/s<br>- Fator de Forma: UDIMM<br>- ECC: No-ECC<br>- Voltagem: 1.2V<br>- Tipo DIMM: unbuffered<br><strong>Conteúdo da embalagem:</strong><br>- 01 Memória Crucial 4GB <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>80 gramas<br>
";289.90;;341.06;;;;;;;;Categories > Memoria Ram;;;Memoria_Ram/Memória_Crucial_Ballistix_Sport_LT_4GB_2400Mhz_DDR4_CL16_Red__BLS4G4D240FSE/79692_index_g.jpg;;;;;;;;;;;;;;;;;;;;;;;;
22;Mesa Digitalizadora Wacom Bluetooth Pequena Intuos Criativa Pistache  CTL4100WLE0;"</strong><br>- Marca: Wacom<br>- Modelo: CTL4100WLE0<br> <br><strong><br>Especificações:<br></strong><br>- Área ativa 152,0 x 95,0 mm (6,0 x 3,7 pol)<br>- Cor Pistache<br>- Cabo: 1.5 m<br>- ExpressKeys: 4 configurações específicas de aplicativos personalizáveis<br>- Resolução: 2540 lpi<br>- Suporte sem fio <br>- Bluetooth Classic<br>- Botão de emparelhamento ON / OFF / Bluetooth<br>- Botão de reset<br>- Slot de cabo de Segurança<br>- Impulsionadores de Produtividade: Menu radial, alternância de exibição e teclado na tela disponível em todos os modelos<br>- Velocidade de leitura (caneta) 133 pps<br>- Tecnologia Método patenteado de ressonância eletromagnética<br> <br><strong>Caneta:</strong><br>- Wacom 4K<br>- Níveis de Pressão 4096<br> <br><strong>Bateria:</strong><br>- Iões de lítio integrada e não substituível<br>- Tempo de operação contínua<br>- Tempo de carregamento 15 horas no mínimo, até 3.5 horas<br> <br><strong>Software incluído:</strong><br>- Corel Painter Essentials 6 <br>- Corel AfterShot 3 <br>- CLIP STUDIO PAINT PRO<br> <br><strong>Requisitos do Sistema:</strong><br>- Windows 7 ou posterior (excluindo o Windows 10 S; último service pack / build) <br>- OS X 10.11 ou posterior (atualização mais recente)<br>- Porta USB padrão tipo A<br>- Bluetooth Classic para conexão sem fio<br>- Acesso à Internet para baixar o driver do tablet para o trabalho e selecione o software para download * <br>* O ID da Wacom e o registro do produto são necessários.<br> <br><strong>Conteúdo da Embalagem:</strong><br>- Wacom Intuos caneta digitalizadora pequena, com Bluetooth <br>- Caneta Wens sensível à pressão, 4K <br>- Cabo USB isenta de PVC com cabo arrumado e conector em forma de L <br>- 3 pontas padrão extra (localizadas dentro da caneta) <br>- Ferramenta de remoção de ponta na ponta da caneta <br>- Guia de início rápido <br>- Folha de regulamentação <br>- Guia do usuário on-line e Informações importantes sobre o produto encontradas no Wacom Desktop Center<br> <br><strong>Observações:</strong><br>* Os números de especificação, como área ativa, tamanho do tablet, são aproximados. Requisitos do sistema sujeitos a alterações. <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>510 gramas<br>
";615.90;819.88;724.59;;;;;;;;Categories > Mesa;;Mesa/Mesa_Digitalizadora_Wacom_Bluetooth_Pequena_Intuos_Criativa_Pistache__CTL4100WLE0/96951_1_1528116355_g.jpg;Mesa/Mesa_Digitalizadora_Wacom_Bluetooth_Pequena_Intuos_Criativa_Pistache__CTL4100WLE0/96951_1528116382_index_g.jpg;Mesa/Mesa_Digitalizadora_Wacom_Bluetooth_Pequena_Intuos_Criativa_Pistache__CTL4100WLE0/96951_2_1528116355_g.jpg;Mesa/Mesa_Digitalizadora_Wacom_Bluetooth_Pequena_Intuos_Criativa_Pistache__CTL4100WLE0/96951_3_1528116355_g.jpg;Mesa/Mesa_Digitalizadora_Wacom_Bluetooth_Pequena_Intuos_Criativa_Pistache__CTL4100WLE0/96951_4_1528116355_g.jpg;Mesa/Mesa_Digitalizadora_Wacom_Bluetooth_Pequena_Intuos_Criativa_Pistache__CTL4100WLE0/96951_5_1528116355_g.jpg;Mesa/Mesa_Digitalizadora_Wacom_Bluetooth_Pequena_Intuos_Criativa_Pistache__CTL4100WLE0/96951_6_1528116355_g.jpg;Mesa/Mesa_Digitalizadora_Wacom_Bluetooth_Pequena_Intuos_Criativa_Pistache__CTL4100WLE0/96951_xxx_g.jpg;;;;;;;;;;;;;;;;;;
23;Ventilador Arno  de Mesa  Silence Force 40cm VF40 127V Preto  VE3220B1;"</strong><br>- Marca: Arno<br>- Modelo: VF40<br> <br><strong><br>Especificações:<br></strong><br>- Voltagem: 127 V<br>- Potência: 126 W<br>- Consumo: 10,10 kWh/mês<br>- Cor: preto<br>- Quantidade de pás: 6<br>- Velocidades: 3<br>- Dimensões: 49 x 65 x 35,5 cm<br> <br><strong>Informações adicionais: </strong><br>- Inclinação ajustável<br>- Alça para transporte<br>- Porta fio<br>- Protetor térmico<br>- Fusível de segurança<br>- Grade removível<br> <br><strong>Conteudo da embalagem</strong><br>- 01 Ventilador<br>- 01 Manual de instruções<br>- 01 Certificado de garantia<br> <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>4010 gramas<br>
";151.90;;178.71;;;;;;;;Categories > Mesa;;Mesa/Ventilador_Arno__de_Mesa__Silence_Force_40cm_VF40_127V_Preto__VE3220B1/68458_1443812530_g.jpg;Mesa/Ventilador_Arno__de_Mesa__Silence_Force_40cm_VF40_127V_Preto__VE3220B1/68458_index_g.jpg;Mesa/Ventilador_Arno__de_Mesa__Silence_Force_40cm_VF40_127V_Preto__VE3220B1/68458_1443812533_g.jpg;;;;;;;;;;;;;;;;;;;;;;;
24;Monitor Acer LED 27 Widescreen Full HD HDMIVGADVI Som Integrado  VA270H;"</strong><br>- Marca: Acer<br>- Modelo: VA270H<br> <br><strong><br>Especificações:<br></strong><br>- Tamanho do painel: 27"" (16:9)<br>- Área ativa do display: 597 x 336 mm<br>- Bits: 6-bit + Hi-FRC<br>- Pitch de pixel: 0.311 mm<br>- Resolução: 1920x1080 @ 60 Hz<br>- Taxa de atualização: 60Hz<br>- Tipo de painel: VA<br>- Tempo de Resposta (tip.): 6ms (on/off)<br>- Contraste Adaptativo Acer: 100.000.000:1<br>- Contraste Nativo: 3.000:1<br>- Brilho: 300 cd/m²<br>- Ângulo de visão (CR ≧ 10): 178º / 178º<br>- Exibir cores: 16.7M<br>- Bit de cor: 6Bit + Hi-FRC<br>- Saturação de cores: 72% NTSC<br>- Montagem em parede VESA: 100x100mm<br>- Tipo de moldura: 3S E2E<br>- Inclinar: -5º ~ 20º<br>- Fonte de Energia: Interna 100 <br>- 240V<br><strong><br></strong><br><strong>Sinais de Entrada:</strong><br>- 1x VGA<br>- 1x HDMI<br>- 1x DVI<br> <br><strong>Consumo de Energia:</strong><br>- ENERGY STAR<br>- Off: 0.24 W<br>- Sleep: 0.43 W<br>- On: 26.6 W<br><strong><br></strong><br><strong>Conteúdo da Embalagem:</strong><br>- Monitor Acer <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>6015 gramas<br>
";934.90;;1099.88;;;;;;;;Categories > Monitores;;Monitores/Monitor_Acer_LED_27_Widescreen_Full_HD_HDMIVGADVI_Som_Integrado__VA270H/81020_1475248371_g.jpg;Monitores/Monitor_Acer_LED_27_Widescreen_Full_HD_HDMIVGADVI_Som_Integrado__VA270H/81020_index_g.jpg;Monitores/Monitor_Acer_LED_27_Widescreen_Full_HD_HDMIVGADVI_Som_Integrado__VA270H/81020_1475248378_g.jpg;Monitores/Monitor_Acer_LED_27_Widescreen_Full_HD_HDMIVGADVI_Som_Integrado__VA270H/81020_1475248385_g.jpg;Monitores/Monitor_Acer_LED_27_Widescreen_Full_HD_HDMIVGADVI_Som_Integrado__VA270H/81020_1475248391_g.jpg;Monitores/Monitor_Acer_LED_27_Widescreen_Full_HD_HDMIVGADVI_Som_Integrado__VA270H/81020_1475248398_g.jpg;Monitores/Monitor_Acer_LED_27_Widescreen_Full_HD_HDMIVGADVI_Som_Integrado__VA270H/81020_1520886792_g.jpg;;;;;;;;;;;;;;;;;;;
25;Monitor Gamer LG LED 34 Ultrawide Curvo Full HD HDMIDisplay Port FreeSync 144Hz 1ms Altura Ajustável  34UC79GB;"</strong><br>- Marca: LG<br>- Modelo: 34UC79G-B<br> <br><strong><br>Especificações:<br></strong><br> <br><strong>Tela:</strong><br>- Tamanho da tela: 34 "" Curvado 144Hz<br>- Tipo de painel: IPS<br>- Color Gamut (CIE 1931): NTSC 72%<br>- Profundidade de cor (Número de cores): 8bits, 16.7M<br>- Pitch de pixel: 0,312 mm x 0,312 mm<br>- Tempo de resposta: 14ms / 5ms GTG<br>- Taxa de atualização: 144Hz<br>- Proporção da tela: 21: 9<br>- Resolução: 2560 x 1080<br>- Brilho: 250 cd / m²<br>- Relação de contraste: Mega<br>- Ângulo de visão: 178º / 178º<br> <br><strong>Entradas Saídas:</strong><br>- 2x HDMI (ver2.0)<br>- 1x DisplayPort (ver1.2)<br>- 2x USB 3.0<br>- 1x USB 3.0<br>- Quick Charge<br> <br><strong>Energia:</strong><br>- Tipo: Adaptador<br>- Entrada: 100 ~ 240V, 50 / 60Hz<br>- Normal Ligado (EPA 7.0): 50W (EPA 7.0)<br> <br><strong>Modos de imagem:</strong><br>- Personalizado<br>- Leitor<br>- Foto<br>- Cinema<br>- Quarto escuro 1<br>- Quarto escuro 2<br>- Fraqueza de cor<br>- FPS Game 1<br>- FPS Game 2<br>- RTS Game<br>- Custom (Game)<br><strong><br></strong><br><strong>Recursos:</strong><br>- Taxa: Amplo, Original, Cinema 1, Cinema 2, 1: 1<br>- PIP: Na divisão de tela<br>- DDC / CI<br>- HDCP<br>- Trava de chave<br>- Motion Blur Reduction: 1ms<br>- FreeSync (DP 50 ~ 144Hz)<br>- Modo de jogo<br>- Modo DAS<br>- Estabilizador preto<br>- Flicker Safe<br>- Controle de seis eixos<br>- Economia inteligente de energia<br>- Modo Leitor (incluído no modo de imagem)<br>- Resolução Super+<br>- Cor Calibrado<br>- Controlador duplo<br>- Screen Split 2.0 (em OSC)<br>- Predefinição de exibição (em OSC)<br>- Controle OnScreen (OSC)<br>- Dual EDID (H / W)<br>- One Click Stand-up<br>- Ângulo de inclinaçao: -5º ~ 20º<br>- Altura: 120mm (alcance)<br><strong><br></strong><br><strong>Gabinete:</strong><br>- Tamanho VESA: 100 x 100 mm<br>- Suporte de cabos<br> <br><strong>Padrões:</strong><br>- UL (cUL)<br>- Tipo TUV<br>- FCC-B, CE<br>- ErP<br>- CCC (para a China)<br>- BSMI (para Taiwan)<br>- Windows<br><strong><br></strong><br><strong>Conteúdo da Embalagem:</strong><br>- 1x Monitor LG<br>- 1x Cabo de alimentação<br>- 1x HDMI<br>- 1x DisplayPort<br>- Manual do Usuário <br><br><br><strong>Garantia</strong><br>12 meses de garantia<br><br><strong>Peso</strong><br>12145 gramas<br>
